Turkish,English
bir,a
bu,This 
ne,What
ve,and
için,for  
mi,mi
de,also
o,he is
ben,I
çok,lots
ama,but
evet,Yeah
var,there is
da,in
mı,is it
değil,not
şey,thing
hayır,no  
daha,more    
sen,joyful
kadar,until
bana,to me
gibi,like
bunu,this
yok,none 
onu,him-her-it
iyi,good
tamam,ok
beni,me  
seni,you
benim,Mine
her,each
sana,to you   
ki,that
neden,why
ya,or
sadece,only
zaman,time
senin,your
burada,here
olduğunu,that
nasıl,How
hiç,none
sonra,Then
şimdi,now
en,most
öyle,so 
mu,is it
şu,this
misin,will you
önce,before
biraz,a little
hadi,come on
güzel,beautiful
musun,are you
oldu,happened
yani,well
ona,him
böyle,like this
İyi,Good   
onun,her
bile,even    
lütfen,please   
bak,look
eğer,if
peki,alright
çünkü,because
artık,now    
gerçekten,really
geri,back
biliyorum,I know
istiyorum,I want
kim,who
başka,other
olarak,aspect
belki,maybe
tek,only
doğru,TRUE
büyük,big
olan,the one which...
biri,somebody
bay,Mr
buraya,here
olur,It is possible
in,of
adam,man
ile,with
olacak,it will be
hey,Hey
hiçbir,no
biz,we
demek,means
sanırım,I guess
yardım,help
ın,of
bilmiyorum,I do not know
bunun,this
teşekkürler,thanks
tüm,all
gün,day
yeni,new
fazla,more
ederim,thank you
nerede,where
tanrım,God
merhaba,Hello there
efendim,sir
a,A
şeyi,thing
orada,there
gece,night
son,end
kötü,bad
şeyler,things
biliyor,he knows
harika,wonderful
iki,two
sorun,problem
et,meat
İşte,Request
bütün,all
tam,full
gerek,necessary
siz,you 
diye,saying
hemen,now
ol,die
üzgünüm,I am sad
küçük,small
olabilir,it could be
olsun,never mind
i,I
size,to you
bayan,Lady
aynı,same
hakkında,about
teşekkür,Thanks
gel,come
tabii,of course
yüzden,so
onları,Them 
kız,girl
kendi,own
devam,continue
nin,n
bize,to us
e,to
ver,give
oluyor,is happening
izin,permission
iş,business
bizi,we
buna,this
selam,hi
anne,mom
vardı,there
bizim,ours
geldi,came
sizi,you
baba,father
dur,Stop
aslında,actually
seninle,with you
asla,never
göre,according to
kimse,nobody
özür,apology
değilim,I am not
